cohort,half_life_s,CCC,MAE,RMSE,Acc_10,Acc_5,Lag_s
A,0,0.842,4.138,5.742,92.481,69.589,6.0
A,2,0.862,3.852,5.325,93.887,72.5,4.0
A,3,0.869,3.733,5.156,94.436,73.709,4.0
A,5,0.878,3.599,4.957,95.068,75.076,4.0
B,0,0.73,3.631,5.296,95.798,76.527,6.0
B,2,0.749,3.444,5.063,96.386,78.986,4.0
B,3,0.756,3.369,4.967,96.628,80.004,4.0
B,5,0.764,3.288,4.86,96.859,81.19,4.0
C,0,0.824,4.843,6.698,88.928,62.601,6.0
C,2,0.844,4.505,6.24,90.891,65.7,6.0
C,3,0.852,4.363,6.048,91.725,67.082,4.0
C,5,0.862,4.197,5.815,92.66,68.726,4.0
